age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,capital-netGain,is-gain,is-loss
36,4,48972,9,10,0,1,4,4,0,0,0,40.0,38,0,0,0
51,4,200576,12,13,0,1,1,4,0,0,0,40.0,38,0,0,0
34,4,37646,11,12,2,3,0,4,1,0,0,65.0,38,0,0,0
36,7,323726,9,10,4,13,4,2,0,0,0,40.0,38,0,0,0
28,4,173944,13,14,2,10,0,4,1,0,0,40.0,38,0,0,0
38,4,470663,12,13,4,4,1,4,1,0,0,50.0,38,0,0,0
63,6,125178,12,13,2,10,0,4,1,0,0,40.0,38,0,0,0
37,4,108366,12,13,4,14,1,4,1,0,0,46.0,38,0,0,0
44,7,193524,13,14,2,4,0,4,1,0,1902,40.0,38,-1902,0,1
18,0,30246,9,10,4,0,3,4,0,0,0,20.0,38,0,0,0
35,4,99156,12,13,4,12,1,4,1,0,0,50.0,38,0,0,0
50,4,182907,8,9,4,6,3,4,1,0,0,25.0,38,0,0,0
31,4,213643,8,9,2,12,0,4,1,3908,0,40.0,38,3908,1,0
23,4,109952,9,10,2,3,0,4,1,0,0,60.0,38,0,0,0
38,4,103456,12,13,5,10,4,4,1,0,0,40.0,38,0,0,0
28,4,162551,3,4,2,7,2,1,0,0,0,48.0,3,0,0,0
24,4,175183,8,9,4,1,1,4,0,0,0,40.0,38,0,0,0
25,5,98756,9,10,0,1,3,4,0,0,0,50.0,38,0,0,0
35,4,200426,10,11,3,10,4,4,0,0,0,44.0,38,0,0,0
33,4,154981,12,13,2,1,0,4,1,0,1902,50.0,38,-1902,0,1
52,6,175029,5,6,2,3,0,4,1,0,0,35.0,38,0,0,0
23,4,210443,12,13,4,10,3,4,0,0,0,40.0,38,0,0,0
42,4,255667,9,10,2,3,0,4,1,0,0,50.0,38,0,0,0
57,1,192258,9,10,0,1,3,4,1,0,0,40.0,38,0,0,0
57,4,178353,8,9,2,3,0,4,1,0,0,50.0,38,0,0,0
37,4,172232,8,9,4,8,4,2,0,0,0,30.0,38,0,0,0
77,5,155761,9,10,2,12,0,4,1,0,0,8.0,38,0,0,0
27,4,271603,3,4,4,8,1,4,1,0,0,24.0,0,0,0,0
48,7,120131,8,9,0,3,3,4,1,8614,0,40.0,38,8614,1,0
27,4,110622,2,3,4,12,3,1,0,0,0,20.0,39,0,0,0
23,4,202989,8,9,4,10,1,4,1,0,0,40.0,2,0,0,0
25,4,218667,2,3,2,6,3,4,1,0,0,40.0,38,0,0,0
34,4,169583,13,14,4,4,1,4,0,0,0,50.0,38,0,0,0
40,4,234633,9,10,4,3,1,4,1,0,0,40.0,38,0,0,0
27,0,130856,12,13,4,0,1,4,1,0,0,40.0,38,0,0,0
29,1,244473,12,13,2,4,0,4,1,7688,0,40.0,38,7688,1,0
42,4,33521,11,12,2,12,0,4,1,0,0,45.0,38,0,0,0
25,4,256263,11,12,2,12,0,4,1,0,0,40.0,38,0,0,0
29,2,45554,9,10,0,1,4,4,0,0,0,40.0,38,0,0,0
42,4,296982,9,10,0,12,4,4,1,0,0,40.0,38,0,0,0
54,6,199741,8,9,6,3,1,4,1,0,2001,35.0,38,-2001,0,1
31,4,368517,11,12,4,10,1,1,1,0,0,40.0,38,0,0,0
36,4,218490,11,12,2,3,0,4,1,0,0,35.0,38,0,0,0
32,4,228265,8,9,4,6,3,4,0,0,0,30.0,38,0,0,0
49,2,186539,13,14,2,11,0,4,1,0,0,40.0,38,0,0,0
36,4,99374,9,10,0,3,1,4,1,0,0,40.0,38,0,0,0
54,4,103024,8,9,0,13,1,4,1,0,0,42.0,38,0,0,0
39,4,126675,13,14,2,12,0,4,1,0,0,50.0,38,0,0,0
47,5,79627,14,15,0,10,1,4,1,27828,0,50.0,38,27828,1,0
29,4,130620,9,10,3,12,3,1,0,0,0,26.0,18,0,0,0
40,4,343068,9,10,0,4,1,4,0,0,0,40.0,38,0,0,0
39,4,326342,6,7,2,8,0,2,1,2635,0,37.0,38,2635,1,0
24,4,59146,8,9,5,12,4,4,0,0,0,48.0,38,0,0,0
56,4,136413,1,2,2,3,0,4,1,0,0,40.0,38,0,0,0
59,6,98418,8,9,2,5,0,4,1,0,0,20.0,38,0,0,0
45,4,189225,8,9,4,8,4,2,0,0,0,40.0,38,0,0,0
40,4,137225,13,14,2,4,0,4,1,0,0,40.0,38,0,0,0
45,4,178319,15,16,2,10,0,4,1,7688,0,50.0,38,7688,1,0
45,4,72844,8,9,0,4,1,4,0,0,0,46.0,38,0,0,0
22,4,72310,8,9,4,14,1,4,1,0,0,70.0,38,0,0,0
26,4,142506,12,13,4,10,4,2,0,0,0,35.0,38,0,0,0
31,4,193650,6,7,0,8,1,4,0,0,0,40.0,38,0,0,0
33,4,268147,4,5,4,12,4,4,0,0,0,40.0,38,0,0,0
23,4,233626,12,13,4,12,1,4,1,0,0,25.0,38,0,0,0
36,4,224531,12,13,2,12,0,4,1,0,0,50.0,38,0,0,0
53,4,29658,8,9,2,3,0,4,1,0,0,40.0,38,0,0,0
24,4,336088,8,9,0,4,1,0,0,0,0,50.0,38,0,0,0
17,4,169037,6,7,4,6,3,4,1,0,0,40.0,38,0,0,0
32,4,176998,12,13,2,4,0,4,1,0,0,40.0,38,0,0,0
58,4,200040,8,9,2,3,0,4,1,0,0,40.0,38,0,0,0
29,4,267989,8,9,2,3,0,4,1,0,0,45.0,38,0,0,0
38,4,329980,12,13,4,4,1,4,1,0,0,55.0,38,0,0,0
40,4,275446,8,9,4,12,3,2,1,0,0,40.0,38,0,0,0
28,4,250135,8,9,4,10,2,4,0,0,0,40.0,38,0,0,0
39,4,30529,12,13,2,4,0,4,1,0,1887,40.0,38,-1887,0,1
66,4,216856,13,14,2,12,0,4,1,0,0,50.0,38,0,0,0
43,4,118308,12,13,2,10,0,4,1,0,1977,50.0,38,-1977,0,1
43,7,182254,9,10,0,1,4,4,0,0,0,40.0,38,0,0,0
31,1,294870,11,12,2,3,0,4,1,0,0,40.0,38,0,0,0
52,4,178983,6,7,2,8,0,4,1,0,0,40.0,38,0,0,0
43,4,354408,7,8,2,1,0,2,1,0,0,40.0,38,0,0,0
43,4,302041,8,9,4,1,1,2,0,0,0,40.0,38,0,0,0
34,4,219619,8,9,4,6,1,4,1,0,0,40.0,38,0,0,0
61,4,171429,6,7,0,8,4,4,0,0,0,36.0,38,0,0,0
31,4,340917,8,9,4,3,4,4,1,14344,0,40.0,38,14344,1,0
37,4,69251,9,10,2,14,0,1,1,0,0,40.0,38,0,0,0
23,4,236804,6,7,2,8,0,4,1,0,0,40.0,38,0,0,0
43,4,145441,12,13,2,4,0,4,1,0,0,38.0,38,0,0,0
30,4,196342,13,14,4,10,1,4,1,0,0,40.0,20,0,0,0
78,0,27979,8,9,2,0,0,4,1,2228,0,32.0,38,2228,1,0
35,4,200445,8,9,4,7,3,4,1,0,1974,40.0,38,-1974,0,1
28,4,149734,8,9,4,8,4,2,0,0,0,52.0,38,0,0,0
29,4,232914,10,11,4,1,3,2,0,0,0,40.0,38,0,0,0
44,7,185832,12,13,2,1,0,4,1,0,0,46.0,38,0,0,0
25,4,344804,8,9,2,8,0,4,1,0,0,50.0,25,0,0,0
48,4,185143,13,14,2,4,0,4,1,0,0,40.0,38,0,0,0
40,4,110028,9,10,2,3,0,4,1,0,0,40.0,38,0,0,0
54,7,119565,12,13,2,4,0,4,1,0,0,40.0,32,0,0,0
50,4,221336,8,9,0,1,2,1,0,0,0,40.0,29,0,0,0
41,5,140365,12,13,2,4,0,4,1,0,1902,55.0,38,-1902,0,1
43,7,23157,8,9,4,14,1,4,1,0,0,60.0,38,0,0,0
21,7,299153,9,10,4,1,3,4,0,0,0,15.0,38,0,0,0
60,4,174486,8,9,6,7,1,4,0,0,0,40.0,38,0,0,0
37,6,112497,13,14,2,4,0,4,1,0,0,50.0,38,0,0,0
43,4,85995,8,9,4,6,1,4,1,0,0,40.0,38,0,0,0
37,4,175720,5,6,4,6,1,4,1,0,0,40.0,38,0,0,0
52,4,284329,10,11,2,10,0,4,1,15024,0,40.0,38,15024,1,0
63,4,188976,12,13,2,1,0,4,1,0,0,40.0,38,0,0,0
17,4,198124,6,7,4,12,3,4,1,0,0,20.0,38,0,0,0
71,4,183678,14,15,2,10,0,4,1,0,0,16.0,38,0,0,0
26,4,38232,12,13,4,10,1,4,1,0,0,50.0,38,0,0,0
31,6,81030,15,16,2,10,0,4,1,0,0,40.0,38,0,0,0
28,4,441620,12,13,4,8,1,4,1,0,0,43.0,25,0,0,0
58,4,310085,2,3,2,7,0,4,1,0,0,40.0,38,0,0,0
32,4,243988,2,3,2,8,0,4,1,0,0,40.0,25,0,0,0
68,4,201732,9,10,0,1,4,4,0,0,0,40.0,38,0,0,0
21,4,118693,9,10,4,7,3,4,1,0,0,40.0,38,0,0,0
38,4,222450,2,3,2,7,0,4,1,0,0,40.0,25,0,0,0
38,6,255503,6,7,0,4,1,4,1,0,0,55.0,38,0,0,0
53,6,46704,13,14,2,10,0,4,1,0,0,50.0,38,0,0,0
33,4,110998,8,9,4,8,2,0,0,0,0,36.0,38,0,0,0
62,6,173631,9,10,2,4,0,4,1,0,0,70.0,38,0,0,0
53,4,36327,8,9,2,12,0,4,1,0,0,40.0,38,0,0,0
28,4,31801,8,9,4,6,2,4,1,0,0,60.0,38,0,0,0
31,4,258932,8,9,3,8,1,4,0,0,0,80.0,21,0,0,0
65,4,183170,8,9,0,8,1,4,1,0,0,25.0,38,0,0,0
39,4,238008,8,9,6,1,3,4,0,0,0,40.0,38,0,0,0
46,1,332727,9,10,2,3,0,4,1,0,0,40.0,38,0,0,0
41,4,93793,13,14,2,10,0,4,1,0,0,38.0,38,0,0,0
21,4,654141,8,9,4,3,1,2,1,0,0,32.0,38,0,0,0
62,2,223637,8,9,0,8,1,2,0,0,0,35.0,38,0,0,0
23,7,110128,9,10,4,8,3,4,1,0,0,40.0,38,0,0,0
45,2,53123,6,7,2,8,5,4,0,0,0,25.0,38,0,0,0
39,2,272166,12,13,5,10,1,2,1,0,0,30.0,38,0,0,0
34,4,195488,8,9,5,1,3,4,0,0,0,40.0,38,0,0,0
33,7,79580,12,13,2,1,0,2,1,0,0,40.0,38,0,0,0
42,4,196029,12,13,2,14,0,4,1,0,0,48.0,38,0,0,0
39,1,82622,12,13,4,1,1,4,1,0,0,45.0,38,0,0,0
30,4,95299,8,9,2,7,0,1,1,0,0,40.0,39,0,0,0
17,4,159849,6,7,4,11,3,4,0,0,0,30.0,38,0,0,0
46,6,220832,9,10,2,4,0,4,1,0,0,58.0,38,0,0,0
37,4,233490,8,9,4,5,1,4,1,0,0,50.0,38,0,0,0
42,5,277488,14,15,2,10,0,4,1,15024,0,65.0,38,15024,1,0
25,4,521400,2,3,4,7,2,4,1,0,0,40.0,25,0,0,0
38,6,58972,8,9,2,4,0,4,1,0,0,50.0,38,0,0,0
38,4,196123,8,9,2,3,0,4,1,0,0,50.0,38,0,0,0
55,4,255364,9,10,2,4,0,4,1,0,0,60.0,38,0,0,0
37,4,174912,8,9,5,3,3,4,1,0,0,40.0,38,0,0,0
51,4,220019,11,12,0,10,1,4,0,0,0,40.0,38,0,0,0
34,4,103651,9,10,2,4,0,4,1,0,0,40.0,38,0,0,0
20,4,243178,8,9,4,6,3,4,1,0,0,28.0,38,0,0,0
27,4,176683,8,9,4,14,3,4,1,0,0,40.0,38,0,0,0
43,5,304906,12,13,2,12,0,4,1,0,0,45.0,38,0,0,0
25,4,117589,11,12,4,1,1,4,0,0,0,40.0,38,0,0,0
59,1,195467,13,14,4,4,1,4,1,0,0,40.0,38,0,0,0
35,2,331395,10,11,2,11,0,4,1,0,0,42.0,38,0,0,0
19,0,62534,12,13,4,0,3,2,0,0,0,40.0,22,0,0,0
24,4,54560,8,9,2,14,0,4,1,0,0,45.0,38,0,0,0
22,4,243923,8,9,2,14,2,4,1,0,0,80.0,38,0,0,0
54,4,77336,8,9,2,12,0,4,1,0,0,40.0,38,0,0,0
43,4,250802,9,10,0,3,4,4,1,0,0,35.0,38,0,0,0
38,1,207066,8,9,2,4,0,4,1,0,0,42.0,38,0,0,0
31,7,124020,11,12,2,13,0,4,1,0,0,40.0,38,0,0,0
24,4,82847,8,9,5,8,4,4,0,0,0,50.0,31,0,0,0
27,4,384308,9,10,4,3,1,4,1,0,0,45.0,38,0,0,0
24,4,90046,12,13,5,4,1,4,0,0,0,40.0,38,0,0,0
49,1,35406,8,9,6,4,1,4,0,0,0,20.0,38,0,0,0
39,4,150061,13,14,0,4,4,2,0,15020,0,60.0,38,15020,1,0
22,0,42004,9,10,4,0,3,4,1,0,0,30.0,38,0,0,0
42,4,152568,8,9,6,12,4,0,0,0,0,40.0,38,0,0,0
32,4,515629,8,9,5,6,1,4,0,0,0,40.0,38,0,0,0
33,4,125762,8,9,2,12,0,4,1,0,0,44.0,38,0,0,0
45,5,122206,11,12,2,4,0,4,1,0,0,50.0,38,0,0,0
62,4,211035,12,13,2,1,5,4,0,0,0,30.0,38,0,0,0
19,4,306467,9,10,4,8,3,4,0,0,0,20.0,38,0,0,0
45,2,125933,9,10,0,1,4,2,0,0,0,40.0,38,0,0,0
55,4,123515,8,9,0,1,1,4,0,0,0,40.0,38,0,0,0
40,4,266084,9,10,0,3,2,4,1,0,0,50.0,38,0,0,0
44,6,90021,8,9,2,3,0,4,1,0,0,30.0,38,0,0,0
41,4,227968,12,13,2,10,5,2,0,0,0,35.0,14,0,0,0
42,4,192569,14,15,0,10,1,4,0,0,0,39.0,38,0,0,0
46,4,79874,12,13,2,4,0,4,1,0,0,53.0,38,0,0,0
32,4,141490,10,11,0,4,4,4,0,0,0,50.0,38,0,0,0
51,2,186416,12,13,0,1,1,4,0,0,0,40.0,38,0,0,0
36,4,272944,12,13,2,4,0,4,1,0,1887,40.0,38,-1887,0,1
57,4,139290,8,9,0,8,1,4,1,0,0,38.0,38,0,0,0
52,4,229983,14,15,2,10,5,4,0,3103,0,30.0,38,3103,1,0
32,4,131224,8,9,2,10,0,4,1,0,0,40.0,38,0,0,0
33,4,141841,8,9,4,8,3,2,1,0,0,36.0,38,0,0,0
26,4,380674,8,9,4,6,3,4,1,0,0,52.0,38,0,0,0
38,4,60355,8,9,4,1,4,4,0,0,0,40.0,38,0,0,0
29,4,37933,7,8,3,8,1,2,0,0,0,40.0,38,0,0,0
33,0,192644,8,9,4,0,1,4,1,0,0,40.0,38,0,0,0
34,4,118551,12,13,4,13,1,4,0,0,0,40.0,38,0,0,0
49,4,200471,1,2,2,3,0,4,1,0,0,40.0,31,0,0,0
38,4,31053,8,9,0,4,4,4,0,0,0,40.0,38,0,0,0
19,0,204441,8,9,4,0,2,2,1,0,0,20.0,38,0,0,0
39,4,194404,13,14,2,10,0,4,1,7688,0,40.0,38,7688,1,0
39,7,343646,12,13,0,11,1,4,1,0,0,40.0,25,0,0,0
20,4,175069,9,10,4,1,3,4,1,0,0,40.0,40,0,0,0
39,6,251323,4,5,2,5,2,4,1,0,0,40.0,5,0,0,0
48,4,108699,8,9,4,1,1,4,0,0,0,40.0,38,0,0,0
27,4,113635,8,9,4,3,1,4,1,0,0,35.0,20,0,0,0
57,2,323309,3,4,0,8,1,4,1,0,0,40.0,38,0,0,0
21,4,83033,9,10,4,8,1,4,0,0,0,25.0,11,0,0,0
63,6,179444,3,4,2,4,0,4,1,0,0,15.0,38,0,0,0
44,7,115932,13,14,2,4,0,4,1,0,0,40.0,38,0,0,0
28,4,192591,12,13,4,1,1,4,0,0,0,45.0,38,0,0,0
44,6,104973,13,14,2,5,0,4,1,0,0,40.0,38,0,0,0
56,4,192869,13,14,2,3,0,4,1,0,1977,44.0,38,-1977,0,1
32,4,180284,5,6,2,3,0,4,1,0,0,40.0,38,0,0,0
34,4,88215,13,14,2,10,5,1,0,0,0,40.0,3,0,0,0
24,4,180060,13,14,4,4,3,4,1,6849,0,90.0,38,6849,1,0
51,7,172962,15,16,2,10,0,4,1,0,0,40.0,38,0,0,0
26,4,266022,9,10,2,12,0,4,1,0,0,50.0,38,0,0,0
53,7,227392,9,10,2,11,0,4,1,0,0,60.0,38,0,0,0
45,0,144354,4,5,5,0,3,2,1,0,0,40.0,38,0,0,0
30,4,288566,12,13,4,8,1,4,1,0,0,40.0,38,0,0,0
36,4,343476,8,9,0,3,1,4,1,0,0,30.0,38,0,0,0
24,4,176189,8,9,2,7,0,4,1,0,0,40.0,38,0,0,0
31,0,85077,12,13,2,0,5,4,0,0,1902,20.0,38,-1902,0,1
36,4,162651,8,9,5,1,1,4,1,0,0,40.0,4,0,0,0
37,4,50837,3,4,0,4,1,4,1,0,0,50.0,38,0,0,0
22,4,74631,9,10,4,6,3,4,0,0,0,13.0,38,0,0,0
52,4,99682,9,10,2,12,5,4,0,0,0,52.0,2,0,0,0
34,6,123429,8,9,2,12,0,4,1,0,0,60.0,38,0,0,0
59,4,102193,8,9,2,14,0,4,1,0,0,45.0,38,0,0,0
51,4,221672,13,14,2,12,0,4,1,15024,0,50.0,38,15024,1,0
39,4,32650,10,11,4,5,1,4,1,0,0,60.0,38,0,0,0
51,4,220537,8,9,0,7,1,4,0,0,0,40.0,38,0,0,0
21,4,317175,8,9,4,14,1,4,1,0,0,60.0,38,0,0,0
44,4,169980,6,7,2,8,0,2,1,0,0,60.0,38,0,0,0
29,4,146719,8,9,4,14,1,4,0,0,0,45.0,38,0,0,0
42,4,193626,8,9,2,1,5,4,0,0,0,53.0,38,0,0,0
23,4,300275,8,9,4,12,1,4,1,0,0,48.0,38,0,0,0
19,4,165115,8,9,4,12,1,4,0,0,0,40.0,38,0,0,0
32,6,115066,8,9,2,12,0,4,1,0,0,60.0,38,0,0,0
65,0,76043,8,9,2,0,0,4,1,0,0,1.0,38,0,0,0
30,4,361742,9,10,2,4,0,4,1,0,0,50.0,38,0,0,0
32,4,106437,8,9,5,1,4,4,0,0,0,40.0,38,0,0,0
30,4,59496,9,10,2,14,0,4,1,0,0,40.0,38,0,0,0
35,4,276552,8,9,0,3,1,4,1,0,0,40.0,38,0,0,0
53,7,231472,15,16,2,10,0,4,1,0,0,40.0,38,0,0,0
30,4,159442,8,9,4,8,1,4,0,0,0,40.0,20,0,0,0
33,1,122220,9,10,2,4,5,2,0,0,0,40.0,38,0,0,0
17,4,171080,7,8,4,6,3,4,1,0,0,20.0,38,0,0,0
38,6,257250,8,9,4,5,1,4,1,0,0,52.0,38,0,0,0
36,4,210452,12,13,0,10,4,4,1,0,0,45.0,38,0,0,0
39,4,51264,6,7,0,8,3,4,1,0,0,40.0,38,0,0,0
43,4,128354,8,9,0,4,1,4,0,0,0,40.0,38,0,0,0
41,4,202980,8,9,2,3,0,4,1,0,0,4.0,28,0,0,0
55,6,59469,4,5,2,5,0,4,1,0,0,25.0,38,0,0,0
45,4,54260,9,10,0,3,4,4,1,0,0,99.0,38,0,0,0
29,4,103432,8,9,4,3,1,4,1,0,0,40.0,38,0,0,0
23,4,216811,8,9,4,7,3,4,0,0,0,16.0,38,0,0,0
18,4,146378,9,10,4,8,3,4,0,0,0,40.0,0,0,0,0
29,4,107458,8,9,2,14,0,4,1,0,0,40.0,38,0,0,0
36,4,102945,10,11,0,3,1,4,1,0,0,40.0,38,0,0,0
66,2,140849,8,9,6,8,1,4,0,0,0,25.0,38,0,0,0
63,5,215833,8,9,2,4,0,4,1,0,0,40.0,38,0,0,0
29,4,297544,8,9,2,3,0,4,1,0,0,40.0,38,0,0,0
47,4,256522,8,9,2,6,0,4,1,0,0,40.0,0,0,0,0
41,4,152629,9,10,2,13,0,4,1,0,0,40.0,38,0,0,0
19,4,574271,8,9,4,6,3,4,1,0,0,28.0,38,0,0,0
23,4,175424,9,10,4,1,3,2,0,0,0,40.0,38,0,0,0
70,4,131060,3,4,2,8,0,4,1,0,0,25.0,38,0,0,0
34,4,121966,12,13,3,1,1,4,0,0,0,45.0,38,0,0,0
28,4,138692,12,13,2,10,0,4,1,0,1887,40.0,38,-1887,0,1
52,2,108083,13,14,2,10,0,4,1,0,0,50.0,38,0,0,0
59,1,212448,8,9,6,12,4,4,0,0,0,40.0,11,0,0,0
28,4,144521,8,9,4,8,3,2,0,0,0,40.0,38,0,0,0
23,4,39182,8,9,2,12,0,4,1,0,0,40.0,38,0,0,0
56,4,187487,8,9,2,3,0,4,1,0,0,48.0,38,0,0,0
33,4,53373,8,9,2,3,0,4,1,0,0,35.0,38,0,0,0
26,4,159732,9,10,2,4,0,4,1,0,0,60.0,38,0,0,0
45,4,474617,8,9,0,12,4,2,1,5455,0,40.0,38,5455,1,0
45,4,190115,11,12,0,4,4,4,1,0,0,40.0,38,0,0,0
29,2,376302,10,11,2,13,5,4,0,0,0,35.0,26,0,0,0
31,4,147215,7,8,0,8,4,4,0,0,0,21.0,38,0,0,0
30,4,159442,8,9,5,1,1,4,0,0,0,40.0,38,0,0,0
32,4,184833,5,6,5,3,4,4,0,0,0,40.0,38,0,0,0
44,4,96249,9,10,2,12,0,4,1,0,0,60.0,38,0,0,0
37,4,200863,9,10,6,3,4,4,1,0,0,40.0,38,0,0,0
19,4,293928,8,9,4,1,3,4,0,0,0,20.0,38,0,0,0
50,4,285200,9,10,2,3,0,4,1,0,1887,35.0,38,-1887,0,1
25,4,267431,12,13,4,10,3,2,0,0,0,55.0,38,0,0,0
46,4,149640,3,4,3,14,1,4,1,0,0,45.0,38,0,0,0
23,4,200973,8,9,4,1,3,4,0,0,0,40.0,38,0,0,0
50,6,124793,9,10,2,3,0,4,1,0,0,55.0,38,0,0,0
28,4,185127,9,10,4,12,1,4,1,0,0,40.0,38,0,0,0
59,4,126668,10,11,2,10,0,4,1,5178,0,50.0,38,5178,1,0
26,4,89648,12,13,4,4,1,4,0,0,0,50.0,38,0,0,0
24,7,155775,8,9,2,13,0,4,1,0,0,40.0,38,0,0,0
24,4,197757,12,13,4,10,3,1,0,0,0,40.0,29,0,0,0
18,4,59202,8,9,4,9,2,4,0,0,0,10.0,38,0,0,0
35,0,61343,8,9,2,0,0,4,1,0,0,40.0,38,0,0,0
22,4,32616,9,10,4,8,1,4,0,0,0,30.0,38,0,0,0
34,7,177331,9,10,2,10,0,2,1,4386,0,40.0,38,4386,1,0
56,4,204816,9,10,2,4,0,4,1,0,0,40.0,38,0,0,0
52,4,180881,12,13,2,4,0,4,1,0,0,40.0,38,0,0,0
23,4,664670,8,9,4,3,3,2,1,0,0,40.0,38,0,0,0
20,4,105244,9,10,4,6,1,4,1,0,0,50.0,38,0,0,0
21,4,145119,9,10,4,8,3,1,1,0,0,20.0,38,0,0,0
35,7,483530,9,10,0,13,4,4,0,0,0,40.0,38,0,0,0
48,4,118023,14,15,0,12,1,4,1,0,0,13.0,38,0,0,0
34,4,146161,12,13,2,10,0,4,1,0,0,60.0,38,0,0,0
20,4,206681,7,8,4,12,1,4,0,0,0,55.0,38,0,0,0
39,4,230329,8,9,2,3,0,4,1,0,0,35.0,38,0,0,0
42,6,352196,8,9,5,8,1,4,0,0,0,22.0,38,0,0,0
22,4,234663,8,9,2,7,0,4,1,0,0,40.0,38,0,0,0
68,4,50351,13,14,4,1,1,4,0,6360,0,20.0,38,6360,1,0
36,4,418702,10,11,0,1,4,4,0,0,0,40.0,38,0,0,0
60,4,131681,12,13,2,4,0,4,1,0,0,50.0,38,0,0,0
21,4,131811,8,9,2,6,0,4,1,0,0,40.0,38,0,0,0
66,4,205724,9,10,2,12,0,4,1,0,0,24.0,38,0,0,0
